name,types,weaknesses,evolutions,generation,is_legendary,is_mythical,hp,attack,defense,speed,special_attack,special_defense
magneton,"['electric', 'steel']","['fire', 'fighting', 'ground']","['magnemite', 'magneton', 'magnezone']",1,False,False,50,60,95,70,120,70
farfetchd,"['normal', 'flying']","['ice', 'rock', 'fighting', 'electric']","['farfetchd', 'sirfetchd']",1,False,False,52,90,55,60,58,62
doduo,"['normal', 'flying']","['ice', 'rock', 'fighting', 'electric']","['doduo', 'dodrio']",1,False,False,35,85,45,75,35,35
dodrio,"['normal', 'flying']","['ice', 'rock', 'fighting', 'electric']","['doduo', 'dodrio']",1,False,False,60,110,70,110,60,60
seel,['water'],"['electric', 'grass']","['seel', 'dewgong']",1,False,False,65,45,55,45,45,70
dewgong,"['water', 'ice']","['fire', 'electric', 'grass', 'steel', 'rock', 'fighting']","['seel', 'dewgong']",1,False,False,90,70,80,70,70,95
grimer,['poison'],"['psychic', 'ground']","['grimer', 'muk']",1,False,False,80,80,50,25,40,50
muk,['poison'],"['psychic', 'ground']","['grimer', 'muk']",1,False,False,105,105,75,50,65,100
shellder,['water'],"['electric', 'grass']","['shellder', 'cloyster']",1,False,False,30,65,100,40,45,25
cloyster,"['water', 'ice']","['fire', 'electric', 'grass', 'steel', 'rock', 'fighting']","['shellder', 'cloyster']",1,False,False,50,95,180,70,85,45
gastly,"['ghost', 'poison']","['psychic', 'dark', 'ground', 'ghost']","['gastly', 'haunter', 'gengar']",1,False,False,30,35,30,80,100,35
haunter,"['ghost', 'poison']","['psychic', 'dark', 'ground', 'ghost']","['gastly', 'haunter', 'gengar']",1,False,False,45,50,45,95,115,55
gengar,"['ghost', 'poison']","['psychic', 'dark', 'ground', 'ghost']","['gastly', 'haunter', 'gengar']",1,False,False,60,65,60,110,130,75
onix,"['rock', 'ground']","['ice', 'water', 'ground', 'steel', 'grass', 'fighting']","['onix', 'steelix']",1,False,False,35,45,160,70,30,45
drowzee,['psychic'],"['dark', 'ghost', 'bug']","['drowzee', 'hypno']",1,False,False,60,48,45,42,43,90
hypno,['psychic'],"['dark', 'ghost', 'bug']","['drowzee', 'hypno']",1,False,False,85,73,70,67,73,115
krabby,['water'],"['electric', 'grass']","['krabby', 'kingler']",1,False,False,30,105,90,50,25,25
kingler,['water'],"['electric', 'grass']","['krabby', 'kingler']",1,False,False,55,130,115,75,50,50
voltorb,['electric'],['ground'],"['voltorb', 'electrode']",1,False,False,40,30,50,100,55,55
electrode,['electric'],['ground'],"['voltorb', 'electrode']",1,False,False,60,50,70,150,80,80
exeggcute,"['grass', 'psychic']","['fire', 'poison', 'dark', 'ice', 'flying', 'ghost', 'bug']","['exeggcute', 'exeggutor']",1,False,False,60,40,80,40,60,45
exeggutor,"['grass', 'psychic']","['fire', 'poison', 'dark', 'ice', 'flying', 'ghost', 'bug']","['exeggcute', 'exeggutor']",1,False,False,95,95,85,55,125,75
cubone,['ground'],"['ice', 'water', 'grass']","['cubone', 'marowak']",1,False,False,50,50,95,35,40,50
marowak,['ground'],"['ice', 'water', 'grass']","['cubone', 'marowak']",1,False,False,60,80,110,45,50,80
hitmonlee,['fighting'],"['fairy', 'psychic', 'flying']","['tyrogue', 'hitmonlee']",1,False,False,50,120,53,87,35,110
hitmonchan,['fighting'],"['fairy', 'psychic', 'flying']","['tyrogue', 'hitmonlee']",1,False,False,50,105,79,76,35,110
lickitung,['normal'],['fighting'],"['lickitung', 'lickilicky']",1,False,False,90,55,75,30,60,75
koffing,['poison'],"['psychic', 'ground']","['koffing', 'weezing']",1,False,False,40,65,95,35,60,45
weezing,['poison'],"['psychic', 'ground']","['koffing', 'weezing']",1,False,False,65,90,120,60,85,70
rhyhorn,"['ground', 'rock']","['ice', 'water', 'grass', 'ground', 'steel', 'fighting']","['rhyhorn', 'rhydon', 'rhyperior']",1,False,False,80,85,95,25,30,30
rhydon,"['ground', 'rock']","['ice', 'water', 'grass', 'ground', 'steel', 'fighting']","['rhyhorn', 'rhydon', 'rhyperior']",1,False,False,105,130,120,40,45,45
chansey,['normal'],['fighting'],"['happiny', 'chansey', 'blissey']",1,False,False,250,5,5,50,35,105
tangela,['grass'],"['fire', 'poison', 'ice', 'flying', 'bug']","['tangela', 'tangrowth']",1,False,False,65,55,115,60,100,40
kangaskhan,['normal'],['fighting'],['kangaskhan'],1,False,False,105,95,80,90,40,80
horsea,['water'],"['electric', 'grass']","['horsea', 'seadra', 'kingdra']",1,False,False,30,40,70,60,70,25
seadra,['water'],"['electric', 'grass']","['horsea', 'seadra', 'kingdra']",1,False,False,55,65,95,85,95,45
goldeen,['water'],"['electric', 'grass']","['goldeen', 'seaking']",1,False,False,45,67,60,63,35,50
seaking,['water'],"['electric', 'grass']","['goldeen', 'seaking']",1,False,False,80,92,65,68,65,80
staryu,['water'],"['electric', 'grass']","['staryu', 'starmie']",1,False,False,30,45,55,85,70,55
starmie,"['water', 'psychic']","['electric', 'dark', 'ghost', 'grass', 'bug']","['staryu', 'starmie']",1,False,False,60,75,85,115,100,85
mr-mime,"['psychic', 'fairy']","['poison', 'dark', 'ghost', 'steel', 'bug']","['mime-jr', 'mr-mime', 'mr-rime']",1,False,False,40,45,65,90,100,120
scyther,"['bug', 'flying']","['fire', 'electric', 'ice', 'flying', 'rock']","['scyther', 'scizor']",1,False,False,70,110,80,105,55,80
jynx,"['ice', 'psychic']","['fire', 'dark', 'ghost', 'steel', 'bug', 'rock', 'fighting']","['smoochum', 'jynx']",1,False,False,65,50,35,95,115,95
electabuzz,['electric'],['ground'],"['elekid', 'electabuzz', 'electivire']",1,False,False,65,83,57,105,95,85
magmar,['fire'],"['water', 'rock', 'ground']","['magby', 'magmar', 'magmortar']",1,False,False,65,95,57,93,100,85
pinsir,['bug'],"['fire', 'rock', 'flying']",['pinsir'],1,False,False,65,125,100,85,55,70
tauros,['normal'],['fighting'],['tauros'],1,False,False,75,100,95,110,40,70
magikarp,['water'],"['electric', 'grass']","['magikarp', 'gyarados']",1,False,False,20,10,55,80,15,20
gyarados,"['water', 'flying']","['ice', 'electric', 'grass', 'rock']","['magikarp', 'gyarados']",1,False,False,95,125,79,81,60,100
lapras,"['water', 'ice']","['fire', 'electric', 'grass', 'steel', 'rock', 'fighting']",['lapras'],1,False,False,130,85,80,60,85,95
ditto,['normal'],['fighting'],['ditto'],1,False,False,48,48,48,48,48,48
eevee,['normal'],['fighting'],"['eevee', 'vaporeon']",1,False,False,55,55,50,55,45,65
vaporeon,['water'],"['electric', 'grass']","['eevee', 'vaporeon']",1,False,False,130,65,60,65,110,95
jolteon,['electric'],['ground'],"['eevee', 'vaporeon']",1,False,False,65,65,60,130,110,95
flareon,['fire'],"['water', 'rock', 'ground']","['eevee', 'vaporeon']",1,False,False,65,130,60,65,95,110
porygon,['normal'],['fighting'],"['porygon', 'porygon2', 'porygon-z']",1,False,False,65,60,70,40,85,75
omanyte,"['rock', 'water']","['electric', 'water', 'ground', 'steel', 'grass', 'fighting']","['omanyte', 'omastar']",1,False,False,35,40,100,35,90,55
omastar,"['rock', 'water']","['electric', 'water', 'ground', 'steel', 'grass', 'fighting']","['omanyte', 'omastar']",1,False,False,70,60,125,55,115,70
kabuto,"['rock', 'water']","['electric', 'water', 'ground', 'steel', 'grass', 'fighting']","['kabuto', 'kabutops']",1,False,False,30,80,90,55,55,45
kabutops,"['rock', 'water']","['electric', 'water', 'ground', 'steel', 'grass', 'fighting']","['kabuto', 'kabutops']",1,False,False,60,115,105,80,65,70
aerodactyl,"['rock', 'flying']","['electric', 'ice', 'water', 'ground', 'steel', 'grass', 'rock', 'fighting']",['aerodactyl'],1,False,False,80,105,65,130,60,75
snorlax,['normal'],['fighting'],"['munchlax', 'snorlax']",1,False,False,160,110,65,30,65,110
articuno,"['ice', 'flying']","['fire', 'electric', 'ice', 'steel', 'rock', 'fighting']",['articuno'],1,True,False,90,85,100,85,95,125
zapdos,"['electric', 'flying']","['ice', 'rock', 'electric', 'ground']",['zapdos'],1,True,False,90,90,85,100,125,90
moltres,"['fire', 'flying']","['electric', 'ice', 'water', 'ground', 'rock']",['moltres'],1,True,False,90,100,90,90,125,85
dratini,['dragon'],"['ice', 'fairy', 'dragon']","['dratini', 'dragonair', 'dragonite']",1,False,False,41,64,45,50,50,50
dragonair,['dragon'],"['ice', 'fairy', 'dragon']","['dratini', 'dragonair', 'dragonite']",1,False,False,61,84,65,70,70,70
dragonite,"['dragon', 'flying']","['dragon', 'electric', 'ice', 'fairy', 'rock']","['dratini', 'dragonair', 'dragonite']",1,False,False,91,134,95,80,100,100
mewtwo,['psychic'],"['dark', 'ghost', 'bug']",['mewtwo'],1,True,False,106,110,90,130,154,90
mew,['psychic'],"['dark', 'ghost', 'bug']",['mew'],1,False,True,100,100,100,100,100,100
chikorita,['grass'],"['fire', 'poison', 'ice', 'flying', 'bug']","['chikorita', 'bayleef', 'meganium']",2,False,False,45,49,65,45,49,65
bayleef,['grass'],"['fire', 'poison', 'ice', 'flying', 'bug']","['chikorita', 'bayleef', 'meganium']",2,False,False,60,62,80,60,63,80
meganium,['grass'],"['fire', 'poison', 'ice', 'flying', 'bug']","['chikorita', 'bayleef', 'meganium']",2,False,False,80,82,100,80,83,100
cyndaquil,['fire'],"['water', 'rock', 'ground']","['cyndaquil', 'quilava', 'typhlosion']",2,False,False,39,52,43,65,60,50
quilava,['fire'],"['water', 'rock', 'ground']","['cyndaquil', 'quilava', 'typhlosion']",2,False,False,58,64,58,80,80,65
typhlosion,['fire'],"['water', 'rock', 'ground']","['cyndaquil', 'quilava', 'typhlosion']",2,False,False,78,84,78,100,109,85
totodile,['water'],"['electric', 'grass']","['totodile', 'croconaw', 'feraligatr']",2,False,False,50,65,64,43,44,48
croconaw,['water'],"['electric', 'grass']","['totodile', 'croconaw', 'feraligatr']",2,False,False,65,80,80,58,59,63
feraligatr,['water'],"['electric', 'grass']","['totodile', 'croconaw', 'feraligatr']",2,False,False,85,105,100,78,79,83
sentret,['normal'],['fighting'],"['sentret', 'furret']",2,False,False,35,46,34,20,35,45
furret,['normal'],['fighting'],"['sentret', 'furret']",2,False,False,85,76,64,90,45,55
hoothoot,"['normal', 'flying']","['ice', 'rock', 'fighting', 'electric']","['hoothoot', 'noctowl']",2,False,False,60,30,30,50,36,56
noctowl,"['normal', 'flying']","['ice', 'rock', 'fighting', 'electric']","['hoothoot', 'noctowl']",2,False,False,100,50,50,70,86,96
ledyba,"['bug', 'flying']","['fire', 'electric', 'ice', 'flying', 'rock']","['ledyba', 'ledian']",2,False,False,40,20,30,55,40,80
ledian,"['bug', 'flying']","['fire', 'electric', 'ice', 'flying', 'rock']","['ledyba', 'ledian']",2,False,False,55,35,50,85,55,110
spinarak,"['bug', 'poison']","['psychic', 'fire', 'flying', 'ground', 'rock']","['spinarak', 'ariados']",2,False,False,40,60,40,30,40,40
ariados,"['bug', 'poison']","['psychic', 'fire', 'flying', 'ground', 'rock']","['spinarak', 'ariados']",2,False,False,70,90,70,40,60,70
crobat,"['poison', 'flying']","['psychic', 'electric', 'ice', 'ground', 'rock']","['zubat', 'golbat', 'crobat']",2,False,False,85,90,80,130,70,80
chinchou,"['water', 'electric']","['electric', 'grass', 'ground']","['chinchou', 'lanturn']",2,False,False,75,38,38,67,56,56
lanturn,"['water', 'electric']","['electric', 'grass', 'ground']","['chinchou', 'lanturn']",2,False,False,125,58,58,67,76,76
pichu,['electric'],['ground'],"['pichu', 'pikachu', 'raichu']",2,False,False,20,40,15,60,35,35
cleffa,['fairy'],"['poison', 'steel']","['cleffa', 'clefairy', 'clefable']",2,False,False,50,25,28,15,45,55
igglybuff,"['normal', 'fairy']","['poison', 'fighting', 'steel']","['igglybuff', 'jigglypuff', 'wigglytuff']",2,False,False,90,30,15,15,40,20
togepi,['fairy'],"['poison', 'steel']","['togepi', 'togetic', 'togekiss']",2,False,False,35,20,65,20,40,65
togetic,"['fairy', 'flying']","['poison', 'electric', 'ice', 'steel', 'rock']","['togepi', 'togetic', 'togekiss']",2,False,False,55,40,85,40,80,105
natu,"['psychic', 'flying']","['electric', 'dark', 'ice', 'ghost', 'bug', 'rock']","['natu', 'xatu']",2,False,False,40,50,45,70,70,45
xatu,"['psychic', 'flying']","['electric', 'dark', 'ice', 'ghost', 'bug', 'rock']","['natu', 'xatu']",2,False,False,65,75,70,95,95,70
mareep,['electric'],['ground'],"['mareep', 'flaaffy', 'ampharos']",2,False,False,55,40,40,35,65,45
flaaffy,['electric'],['ground'],"['mareep', 'flaaffy', 'ampharos']",2,False,False,70,55,55,45,80,60
ampharos,['electric'],['ground'],"['mareep', 'flaaffy', 'ampharos']",2,False,False,90,75,85,55,115,90
bellossom,['grass'],"['fire', 'poison', 'ice', 'flying', 'bug']","['oddish', 'gloom', 'vileplume']",2,False,False,75,80,95,50,90,100
marill,"['water', 'fairy']","['poison', 'electric', 'grass', 'steel']","['azurill', 'marill', 'azumarill']",2,False,False,70,20,50,40,20,50
azumarill,"['water', 'fairy']","['poison', 'electric', 'grass', 'steel']","['azurill', 'marill', 'azumarill']",2,False,False,100,50,80,50,60,80
sudowoodo,['rock'],"['water', 'ground', 'steel', 'grass', 'fighting']","['bonsly', 'sudowoodo']",2,False,False,70,100,115,30,30,65
politoed,['water'],"['electric', 'grass']","['poliwag', 'poliwhirl', 'poliwrath']",2,False,False,90,75,75,70,90,100
hoppip,"['grass', 'flying']","['fire', 'poison', 'electric', 'ice', 'flying', 'bug', 'rock']","['hoppip', 'skiploom', 'jumpluff']",2,False,False,35,35,40,50,35,55
skiploom,"['grass', 'flying']","['fire', 'poison', 'electric', 'ice', 'flying', 'bug', 'rock']","['hoppip', 'skiploom', 'jumpluff']",2,False,False,55,45,50,80,45,65
jumpluff,"['grass', 'flying']","['fire', 'poison', 'electric', 'ice', 'flying', 'bug', 'rock']","['hoppip', 'skiploom', 'jumpluff']",2,False,False,75,55,70,110,55,95
aipom,['normal'],['fighting'],"['aipom', 'ambipom']",2,False,False,55,70,55,85,40,55
sunkern,['grass'],"['fire', 'poison', 'ice', 'flying', 'bug']","['sunkern', 'sunflora']",2,False,False,30,30,30,30,30,30
sunflora,['grass'],"['fire', 'poison', 'ice', 'flying', 'bug']","['sunkern', 'sunflora']",2,False,False,75,75,55,30,105,85
yanma,"['bug', 'flying']","['fire', 'electric', 'ice', 'flying', 'rock']","['yanma', 'yanmega']",2,False,False,65,65,45,95,75,45
wooper,"['water', 'ground']","['ice', 'water', 'electric', 'grass']","['wooper', 'quagsire']",2,False,False,55,45,45,15,25,25
quagsire,"['water', 'ground']","['ice', 'water', 'electric', 'grass']","['wooper', 'quagsire']",2,False,False,95,85,85,35,65,65
espeon,['psychic'],"['dark', 'ghost', 'bug']","['eevee', 'vaporeon']",2,False,False,65,65,60,110,130,95
umbreon,['dark'],"['fairy', 'fighting', 'bug']","['eevee', 'vaporeon']",2,False,False,95,65,110,65,60,130
murkrow,"['dark', 'flying']","['electric', 'ice', 'bug', 'fairy', 'rock', 'fighting']","['murkrow', 'honchkrow']",2,False,False,60,85,42,91,85,42
slowking,"['water', 'psychic']","['electric', 'dark', 'ghost', 'grass', 'bug']","['slowpoke', 'slowbro']",2,False,False,95,75,80,30,100,110
misdreavus,['ghost'],"['dark', 'ghost']","['misdreavus', 'mismagius']",2,False,False,60,60,60,85,85,85
unown,['psychic'],"['dark', 'ghost', 'bug']",['unown'],2,False,False,48,72,48,48,72,48
wobbuffet,['psychic'],"['dark', 'ghost', 'bug']","['wynaut', 'wobbuffet']",2,False,False,190,33,58,33,33,58
girafarig,"['normal', 'psychic']","['dark', 'fighting', 'ghost', 'bug']","['girafarig', 'farigiraf']",2,False,False,70,80,65,85,90,65
pineco,['bug'],"['fire', 'rock', 'flying']","['pineco', 'forretress']",2,False,False,50,65,90,15,35,35
forretress,"['bug', 'steel']","['fire', 'flying', 'ground', 'rock', 'fighting']","['pineco', 'forretress']",2,False,False,75,90,140,40,60,60
dunsparce,['normal'],['fighting'],"['dunsparce', 'dudunsparce']",2,False,False,100,70,70,45,65,65
gligar,"['ground', 'flying']","['electric', 'ice', 'water', 'grass', 'rock']","['gligar', 'gliscor']",2,False,False,65,75,105,85,35,65
steelix,"['steel', 'ground']","['fire', 'ice', 'water', 'ground', 'grass', 'fighting']","['onix', 'steelix']",2,False,False,75,85,200,30,55,65
snubbull,['fairy'],"['poison', 'steel']","['snubbull', 'granbull']",2,False,False,60,80,50,30,40,40
granbull,['fairy'],"['poison', 'steel']","['snubbull', 'granbull']",2,False,False,90,120,75,45,60,60
